,Afghan,American,Australian,Bangladeshi,Belgian,Brazilian,British,Burmese,Canadian,Chilean,Chinese,Colombian,Danish,Dominican,Eritrean,Ethiopian,Finnish,French,German,Greek,Guinean,Haitian,Honduran,Hungarian,Icelandic,Indian,Indonesian,Iranian,Iraqi,Irish,Israeli,Italian,Japanese,Korean,Libyan,Lithuanian,Malian,Mexican,Moldovan,Mongolian,Moroccan,Mozambican,Namibian,Nigerian,Norwegian,Pakistani,Palestinian,Panamanian,Peruvian,Polish,Portuguese,Romanian,Russian,Saudi,Senegalese,Slovak,Somali,Spanish,Sri Lankan,Swedish,Swiss,Syrian,Thai,Turkish,Uzbekistani,Venezuelan,Vietnamese,Yemeni
Chinese,0.25,-0.2875,0.25,0.3888888888888889,-0.08333333333333333,0.2708333333333333,0.15789473684210525,0.0,0.16666666666666666,-0.06818181818181818,-0.39285714285714285,-0.05,0.45,0.041666666666666664,0.23076923076923078,-0.46875,0.07142857142857142,0.125,0.4166666666666667,0.1,-0.3333333333333333,-0.09375,-0.027777777777777776,0.4166666666666667,0.20833333333333334,0.09090909090909091,-0.16666666666666666,0.03409090909090909,0.15,0.234375,0.1111111111111111,0.234375,-0.08333333333333333,-0.05,0.027777777777777776,-0.25,-0.1875,-0.1,0.0,0.125,0.056818181818181816,-0.046296296296296294,0.041666666666666664,-0.32894736842105265,0.3125,-0.0375,0.03125,0.3333333333333333,0.2222222222222222,0.15,0.25,-0.08333333333333333,0.45,0.3333333333333333,0.1590909090909091,0.25,0.0,0.375,0.0,-0.25,0.375,0.013888888888888888,-0.13157894736842105,0.25,0.0,0.08333333333333333,0.09090909090909091,-0.1
Colombian,0.17857142857142858,-0.4,0.125,0.1388888888888889,0.0,-0.10416666666666667,-0.17105263157894737,-0.16666666666666666,0.125,0.20454545454545456,0.07142857142857142,0.1,0.3,0.041666666666666664,0.1346153846153846,-0.265625,0.42857142857142855,-0.03125,0.5,0.1,-0.3425925925925926,0.125,0.05555555555555555,0.1111111111111111,-0.041666666666666664,-0.125,0.05555555555555555,0.07954545454545454,0.1125,0.1875,0.5833333333333334,0.109375,0.03571428571428571,-0.15,-0.08333333333333333,0.2916666666666667,-0.14583333333333334,-0.2,0.3181818181818182,0.5625,0.125,-0.018518518518518517,0.1111111111111111,-0.1513157894736842,0.5625,-0.175,-0.046875,0.0,0.16666666666666666,-0.4,0.0,0.027777777777777776,0.55,0.10416666666666667,0.13636363636363635,0.25,0.21875,0.25,0.0,-0.125,0.25,0.125,-0.17105263157894737,0.0,0.25,0.2916666666666667,0.13636363636363635,0.25
Danish,0.375,-0.475,-0.08333333333333333,0.1388888888888889,0.08333333333333333,0.10416666666666667,0.2236842105263158,0.1111111111111111,0.20833333333333334,0.045454545454545456,-0.10714285714285714,-0.15,0.3,0.041666666666666664,0.11538461538461539,-0.109375,0.14285714285714285,0.21875,0.20833333333333334,0.35,-0.3425925925925926,-0.0625,-0.027777777777777776,0.1111111111111111,0.16666666666666666,0.125,0.3055555555555556,0.011363636363636364,0.0125,-0.03125,-0.1388888888888889,0.171875,-0.17857142857142858,0.15,0.0,0.25,-0.25,-0.1,0.022727272727272728,0.5,0.03409090909090909,-0.08333333333333333,0.041666666666666664,-0.23684210526315788,0.0625,0.075,0.0625,0.4166666666666667,-0.08333333333333333,0.15,0.3333333333333333,0.08333333333333333,0.25,0.14583333333333334,0.29545454545454547,0.2,0.0625,0.53125,0.08333333333333333,-0.375,0.0,-0.041666666666666664,-0.18421052631578946,1.0,0.16666666666666666,0.0,0.06818181818181818,0.025
Dominican,0.017857142857142856,-0.4,0.375,0.05555555555555555,0.08333333333333333,0.10416666666666667,0.13157894736842105,0.05555555555555555,0.20833333333333334,0.3181818181818182,-0.35714285714285715,0.1,0.5,0.5833333333333334,0.057692307692307696,-0.109375,0.10714285714285714,0.09375,0.4583333333333333,0.15,-0.18518518518518517,0.0625,0.25,0.027777777777777776,0.0,-0.06818181818181818,-0.3888888888888889,0.056818181818181816,-0.0125,0.296875,0.08333333333333333,0.203125,-0.32142857142857145,-0.275,0.1111111111111111,-0.20833333333333334,-0.20833333333333334,0.3,0.11363636363636363,0.25,-0.011363636363636364,-0.09259259259259259,-0.125,-0.1118421052631579,0.5625,0.0,0.15625,0.5833333333333334,-0.027777777777777776,-0.1,0.5,0.16666666666666666,0.25,-0.08333333333333333,0.4772727272727273,0.25,-0.03125,0.0625,0.23333333333333334,-0.25,0.375,0.041666666666666664,-0.19736842105263158,1.25,0.25,0.3333333333333333,0.09090909090909091,0.325
Eritrean,0.03571428571428571,-0.125,0.16666666666666666,-0.19444444444444445,0.5,0.020833333333333332,-0.013157894736842105,-0.19444444444444445,0.041666666666666664,-0.1590909090909091,-0.2857142857142857,-0.05,0.05,0.0,0.11538461538461539,-0.390625,0.10714285714285714,0.0,0.16666666666666666,0.25,-0.5,0.1875,0.1111111111111111,0.16666666666666666,0.08333333333333333,0.022727272727272728,-0.2777777777777778,0.03409090909090909,0.2375,0.171875,-0.027777777777777776,0.140625,0.03571428571428571,-0.0125,0.25,0.20833333333333334,-0.3229166666666667,-0.15,0.25,0.1875,0.1590909090909091,-0.027777777777777776,-0.013888888888888888,-0.03289473684210526,0.5,-0.075,0.015625,0.0,0.1111111111111111,-0.25,0.5833333333333334,-0.08333333333333333,0.4,0.16666666666666666,0.13636363636363635,0.15,-0.125,0.3125,0.15,-0.25,0.375,0.1111111111111111,-0.25,0.75,0.0,0.08333333333333333,0.18181818181818182,0.0
Ethiopian,0.03571428571428571,-0.025,-0.041666666666666664,-0.16666666666666666,-0.16666666666666666,0.20833333333333334,0.3157894736842105,0.0,0.25,0.2727272727272727,-0.21428571428571427,-0.05,0.25,-0.25,0.17307692307692307,-0.109375,0.25,0.03125,0.375,0.2,-0.46296296296296297,0.09375,0.1388888888888889,-0.027777777777777776,0.041666666666666664,0.125,-0.08333333333333333,-0.011363636363636364,0.1,0.203125,0.027777777777777776,0.046875,-0.13095238095238096,0.1,0.25,-0.08333333333333333,-0.4583333333333333,-0.05,-0.022727272727272728,0.0625,0.20454545454545456,-0.06481481481481481,-0.125,-0.25,0.25,0.1125,-0.125,-0.16666666666666666,-0.027777777777777776,0.0,0.25,0.19444444444444445,-0.15,0.3541666666666667,0.045454545454545456,0.2,0.03125,0.5,-0.13333333333333333,-0.125,0.5,-0.027777777777777776,-0.09210526315789473,0.75,0.0,0.041666666666666664,0.29545454545454547,0.225
Finnish,0.25,-0.375,-0.08333333333333333,0.3333333333333333,0.25,0.20833333333333334,0.39473684210526316,0.08333333333333333,0.375,0.25,-0.32142857142857145,0.0,0.0,0.20833333333333334,-0.11538461538461539,-0.34375,0.5,-0.25,0.2916666666666667,0.5,-0.37037037037037035,-0.1875,0.05555555555555555,0.027777777777777776,-0.2916666666666667,0.022727272727272728,-0.08333333333333333,0.045454545454545456,0.05,0.234375,0.08333333333333333,0.34375,-0.13095238095238096,-0.1,-0.05555555555555555,-0.4166666666666667,-0.3229166666666667,0.3,0.2727272727272727,0.4375,0.011363636363636364,-0.16666666666666666,-0.18055555555555555,-0.1513157894736842,0.5,0.0875,0.125,0.3333333333333333,0.16666666666666666,-0.15,0.4166666666666667,-0.1111111111111111,0.1,0.25,0.5909090909090909,0.3,0.1875,0.09375,0.13333333333333333,-0.5,0.625,-0.027777777777777776,-0.02631578947368421,0.75,0.16666666666666666,-0.2916666666666667,0.22727272727272727,0.125
French,0.32142857142857145,-0.3,-0.041666666666666664,0.1111111111111111,0.3333333333333333,0.10416666666666667,0.0,-0.08333333333333333,0.041666666666666664,0.22727272727272727,0.03571428571428571,-0.2,0.4,-0.125,0.019230769230769232,-0.453125,0.25,0.375,0.041666666666666664,0.15,-0.2962962962962963,0.3125,0.25,0.05555555555555555,-0.041666666666666664,-0.07954545454545454,0.3611111111111111,0.11363636363636363,0.1875,0.015625,0.2222222222222222,0.125,-0.16666666666666666,0.0875,0.3611111111111111,0.20833333333333334,-0.28125,-0.2,-0.045454545454545456,0.5,0.125,-0.018518518518518517,-0.19444444444444445,-0.2631578947368421,0.3125,-0.05,0.0,0.9166666666666666,-0.08333333333333333,0.05,0.4166666666666667,0.2222222222222222,0.1,0.1875,0.5,0.25,-0.0625,0.21875,-0.15,0.25,0.5,0.125,-0.15789473684210525,0.75,0.5833333333333334,0.08333333333333333,0.13636363636363635,0.2
German,0.08928571428571429,-0.2,0.041666666666666664,-0.3055555555555556,0.75,0.22916666666666666,0.2631578947368421,0.19444444444444445,0.2916666666666667,0.29545454545454547,-0.21428571428571427,-0.15,0.3,0.08333333333333333,0.23076923076923078,-0.359375,0.2857142857142857,-0.0625,0.0,0.0,-0.37037037037037035,-0.125,0.2777777777777778,0.3888888888888889,0.20833333333333334,-0.13636363636363635,0.05555555555555555,-0.13636363636363635,0.0375,0.125,0.027777777777777776,0.21875,-0.21428571428571427,-0.1,0.25,0.041666666666666664,-0.2916666666666667,-0.15,-0.06818181818181818,0.375,0.11363636363636363,-0.037037037037037035,-0.1527777777777778,-0.2894736842105263,0.25,-0.05,0.1875,0.08333333333333333,-0.027777777777777776,0.0,0.5833333333333334,0.08333333333333333,0.2,0.020833333333333332,0.45454545454545453,0.0,0.03125,0.1875,0.03333333333333333,0.375,-0.375,0.1527777777777778,0.27631578947368424,1.5,0.25,0.25,0.13636363636363635,0.15
Greek,-0.03571428571428571,-0.125,0.25,-0.08333333333333333,0.5,0.125,0.039473684210526314,0.05555555555555555,0.25,0.25,-0.07142857142857142,-0.35,0.15,0.16666666666666666,0.019230769230769232,0.0,0.07142857142857142,0.25,-0.041666666666666664,0.7,-0.25925925925925924,0.03125,-0.05555555555555555,0.25,0.3333333333333333,0.17045454545454544,0.25,0.045454545454545456,-0.0625,-0.078125,0.25,0.03125,-0.2976190476190476,0.025,0.0,0.25,-0.16666666666666666,0.1,0.06818181818181818,0.4375,0.13636363636363635,-0.17592592592592593,-0.08333333333333333,-0.19078947368421054,0.3125,-0.0875,0.109375,-0.4166666666666667,0.05555555555555555,0.05,0.75,-0.1111111111111111,0.55,0.08333333333333333,0.1590909090909091,0.2,-0.15625,0.40625,0.06666666666666667,0.375,0.625,-0.013888888888888888,-0.10526315789473684,0.75,0.0,0.375,0.09090909090909091,0.075
Guinean,0.08928571428571429,-0.1625,-0.08333333333333333,0.25,-0.08333333333333333,0.020833333333333332,0.3815789473684211,-0.2222222222222222,0.16666666666666666,0.18181818181818182,-0.07142857142857142,-0.25,0.35,0.08333333333333333,0.07692307692307693,0.015625,0.10714285714285714,0.125,0.375,0.4,-0.3611111111111111,0.21875,0.1388888888888889,0.25,-0.2916666666666667,-0.09090909090909091,-0.05555555555555555,-0.07954545454545454,0.1375,0.296875,0.0,0.078125,-0.2857142857142857,-0.15,0.1388888888888889,-0.125,-0.13541666666666666,-0.05,0.13636363636363635,0.3125,0.20454545454545456,0.06481481481481481,-0.3333333333333333,-0.19736842105263158,0.3125,-0.15,0.1875,-0.16666666666666666,0.1111111111111111,0.25,0.16666666666666666,0.0,0.15,0.10416666666666667,0.18181818181818182,-0.25,0.15625,0.1875,0.25,0.0,0.625,0.08333333333333333,-0.2236842105263158,1.0,0.0,0.16666666666666666,0.2727272727272727,0.05
Haitian,0.017857142857142856,-0.4375,-0.16666666666666666,0.08333333333333333,0.3333333333333333,0.1875,0.21052631578947367,-0.05555555555555555,0.20833333333333334,0.06818181818181818,-0.5714285714285714,0.0,0.35,0.08333333333333333,0.17307692307692307,-0.203125,-0.10714285714285714,-0.09375,0.5833333333333334,0.05,-0.39814814814814814,0.0625,0.1388888888888889,0.19444444444444445,0.375,0.11363636363636363,0.16666666666666666,0.045454545454545456,0.075,0.25,0.1111111111111111,0.171875,-0.07142857142857142,0.0,0.027777777777777776,-0.08333333333333333,-0.3229166666666667,0.0,0.0,0.125,0.045454545454545456,-0.07407407407407407,-0.2361111111111111,-0.21710526315789475,0.375,0.0,0.234375,-0.16666666666666666,-0.027777777777777776,-0.35,-0.08333333333333333,0.16666666666666666,0.25,0.3541666666666667,0.2727272727272727,0.35,-0.0625,0.03125,0.05,-0.125,0.625,0.09722222222222222,0.013157894736842105,1.25,0.25,0.125,0.20454545454545456,0.0
Honduran,0.10714285714285714,-0.2875,0.16666666666666666,0.1111111111111111,0.08333333333333333,0.14583333333333334,0.07894736842105263,-0.1388888888888889,0.3333333333333333,0.06818181818181818,-0.2857142857142857,-0.4,0.3,-0.16666666666666666,0.3076923076923077,-0.09375,0.03571428571428571,0.125,0.08333333333333333,0.0,-0.027777777777777776,0.1875,0.19444444444444445,0.0,0.2916666666666667,0.03409090909090909,-0.19444444444444445,0.10227272727272728,0.0875,0.046875,-0.16666666666666666,-0.125,-0.07142857142857142,0.075,0.3333333333333333,0.375,-0.20833333333333334,-0.05,0.022727272727272728,0.25,0.09090909090909091,-0.12962962962962962,-0.06944444444444445,-0.17105263157894737,0.1875,0.075,0.15625,0.0,-0.1388888888888889,-0.1,0.08333333333333333,0.1111111111111111,-0.2,0.1875,0.2727272727272727,0.1,0.25,-0.21875,0.1,-0.125,0.25,-0.06944444444444445,0.06578947368421052,1.0,0.25,0.5,0.045454545454545456,-0.1
Hungarian,0.16071428571428573,-0.125,0.08333333333333333,-0.1388888888888889,0.16666666666666666,0.25,0.11842105263157894,-0.08333333333333333,0.125,0.11363636363636363,-0.10714285714285714,0.05,0.5,-0.125,0.07692307692307693,-0.328125,0.10714285714285714,0.0625,0.041666666666666664,0.1,-0.2962962962962963,0.09375,0.2222222222222222,0.3611111111111111,0.25,-0.045454545454545456,-0.3611111111111111,-0.07954545454545454,-0.0375,0.203125,0.08333333333333333,0.203125,-0.2619047619047619,-0.025,0.1111111111111111,0.0,-0.20833333333333334,0.35,0.18181818181818182,0.25,0.13636363636363635,0.0,-0.027777777777777776,-0.24342105263157895,-0.125,0.0375,0.03125,0.25,-0.08333333333333333,0.15,0.3333333333333333,0.19444444444444445,0.1,0.2708333333333333,0.22727272727272727,0.35,-0.03125,0.34375,0.06666666666666667,0.375,0.25,0.2361111111111111,-0.14473684210526316,1.5,0.4166666666666667,0.20833333333333334,0.06818181818181818,0.0
Icelandic,0.125,-0.3875,-0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.08333333333333333,-0.013157894736842105,0.2222222222222222,0.4166666666666667,0.18181818181818182,-0.17857142857142858,0.2,0.3,-0.041666666666666664,0.0,-0.296875,0.17857142857142858,0.0625,-0.16666666666666666,0.15,-0.24074074074074073,0.125,-0.1388888888888889,-0.1111111111111111,0.5416666666666666,0.045454545454545456,0.1111111111111111,0.0,-0.05,0.09375,0.05555555555555555,0.140625,-0.10714285714285714,0.0625,0.1388888888888889,-0.16666666666666666,0.020833333333333332,0.05,0.13636363636363635,0.0625,0.10227272727272728,-0.05555555555555555,-0.06944444444444445,-0.24342105263157895,0.375,-0.1375,0.234375,-0.08333333333333333,0.19444444444444445,-0.05,0.0,-0.05555555555555555,0.15,-0.041666666666666664,0.36363636363636365,0.35,0.125,0.15625,-0.08333333333333333,-0.125,0.5,0.1111111111111111,-0.05263157894736842,1.25,0.25,0.16666666666666666,0.18181818181818182,0.025
Indian,0.25,-0.2625,0.08333333333333333,0.0,0.0,0.1875,-0.21052631578947367,-0.2777777777777778,-0.041666666666666664,-0.11363636363636363,-0.35714285714285715,0.0,0.3,0.0,0.038461538461538464,-0.375,0.03571428571428571,0.15625,0.20833333333333334,0.5,-0.2222222222222222,0.21875,0.16666666666666666,0.05555555555555555,-0.16666666666666666,0.4090909090909091,-0.027777777777777776,0.03409090909090909,0.2375,0.53125,0.05555555555555555,0.15625,-0.14285714285714285,0.0125,0.0,0.25,-0.3020833333333333,-0.05,0.09090909090909091,0.0625,0.19318181818181818,-0.12037037037037036,-0.1388888888888889,-0.14473684210526316,0.875,-0.0875,0.0625,-0.25,0.3055555555555556,0.15,-0.16666666666666666,-0.19444444444444445,0.5,0.125,0.2727272727272727,0.15,0.0625,0.0625,0.18333333333333332,-0.5,-0.375,0.1111111111111111,-0.14473684210526316,1.5,0.16666666666666666,0.20833333333333334,0.06818181818181818,0.2
Indonesian,0.17857142857142858,-0.2,0.08333333333333333,-0.027777777777777776,0.4166666666666667,0.10416666666666667,0.15789473684210525,0.5,0.125,-0.06818181818181818,-0.07142857142857142,0.15,0.15,-0.125,0.25,-0.046875,0.25,0.375,0.4583333333333333,0.2,-0.3888888888888889,0.03125,0.19444444444444445,0.1111111111111111,-0.25,0.09090909090909091,0.08333333333333333,0.14772727272727273,0.0125,0.140625,0.25,0.15625,-0.047619047619047616,-0.25,-0.16666666666666666,-0.08333333333333333,-0.40625,-0.1,-0.045454545454545456,0.25,0.056818181818181816,-0.16666666666666666,-0.2777777777777778,-0.21052631578947367,0.375,0.0875,0.109375,-0.08333333333333333,-0.05555555555555555,0.05,0.3333333333333333,-0.08333333333333333,0.4,0.20833333333333334,0.2727272727272727,0.05,0.03125,0.53125,0.1,-0.125,0.0,0.125,-0.21052631578947367,0.75,0.25,0.2916666666666667,0.11363636363636363,0.025
