,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,diff_TB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig,diff_TB_disambig
professor,0.033496750354576,0.082570018049928,0.1349067599067598,0.0129370629370629,0.8577505827505828,0.5867715617715618,0.013097366194317,0.0171566930767071,0.2534965034965035,-0.1512237762237762,0.4047202797202797,0.11136363636363648,0.1113636363636365,0.0277972027972027,-0.0326923076923076,0.0604895104895103,0.013461538461538497,0.013461538461538497
psychologist,0.0214635671037335,0.1055995909747899,0.0531468531468531,-0.0048951048951049,0.7692307692307692,0.7900932400932402,0.0010641829434745002,0.04018626600156899,0.1092657342657342,-0.0501748251748251,0.1594405594405593,0.1339160839160839,-0.1339160839160839,0.032109557109557,-0.0383449883449883,0.0704545454545453,0.023426573426573498,0.023426573426573498
scientist,0.0278680941665886,0.1020663521599451,0.0889860139860139,0.0116550116550116,0.8057109557109557,0.7202214452214453,0.0074687100063296,0.036653027186724196,0.171095571095571,-0.0958624708624708,0.2669580419580418,0.02639860139860141,-0.026398601398601396,0.0293706293706293,-0.0377622377622377,0.06713286713286701,0.0201048951048952,0.020104895104895208
bartender,0.031023856988618,0.0809842724969574,0.0844988344988344,0.0059440559440559,0.8677738927738927,0.5966783216783217,0.010624472828358999,0.0155709475237365,0.1659673659673659,-0.0875291375291374,0.25349650349650327,0.03986013986013992,-0.03986013986013992,0.0265151515151514,-0.0327505827505826,0.059265734265734005,0.012237762237762205,0.012237762237762205
cashier,0.0340607813537027,0.085564026028604,0.0913170163170162,0.0149184149184148,0.8705128205128204,0.5644522144522144,0.013661397193443697,0.020150701055383094,0.1727855477855477,-0.1011655011655011,0.2739510489510488,0.02896270396270402,-0.019405594405594362,0.0305944055944055,-0.0335664335664335,0.06416083916083899,0.017132867132867196,0.017132867132867192
construction worker,0.0385819880821889,0.0757887954177143,0.0614219114219114,0.016083916083916,0.8671328671328672,0.4772727272727272,0.0181826039219299,0.010375470444493398,0.1155011655011654,-0.0687645687645687,0.18426573426573412,0.1090909090909091,-0.10909090909090907,0.0262820512820512,-0.031060606060606,0.0573426573426572,0.0103146853146854,0.0103146853146854
farm worker,0.0414873367982214,0.0831464112699325,0.0432400932400932,0.0178321678321677,0.8614801864801865,0.4907342657342656,0.0210879526379624,0.017733086296711595,0.090034965034965,-0.0396853146853146,0.1297202797202796,0.1636363636363636,-0.16363636363636358,0.03006993006993,-0.0358391608391608,0.0659090909090908,0.018881118881119,0.018881118881119006
janitor,0.0348878298955085,0.0782582068672767,0.0526223776223776,0.0430069930069929,0.8603146853146851,0.5367132867132867,0.014488445735249503,0.012844881894055804,0.086072261072261,-0.0717948717948717,0.15786713286713272,0.1354895104895105,-0.13548951048951047,0.0272144522144521,-0.0296037296037295,0.0568181818181816,0.009790209790209798,0.009790209790209801
line cook,0.0339611714195841,0.0780429496605972,0.0582750582750582,0.0262237762237762,0.8659090909090909,0.5486013986013986,0.013561787259325102,0.0126296246873763,0.1134032634032633,-0.0614219114219114,0.1748251748251747,0.11853146853146851,-0.11853146853146848,0.0300116550116549,-0.0336247086247085,0.06363636363636341,0.016608391608391605,0.016608391608391608
parking attendant,0.0360468005128046,0.0860025238033811,0.0874708624708624,0.0179487179487179,0.8803030303030303,0.5728438228438228,0.0156474163525456,0.020589198830160194,0.1715034965034964,-0.0909090909090909,0.2624125874125873,0.030944055944055915,-0.030944055944055915,0.0324592074592074,-0.0369463869463869,0.0694055944055943,0.022377622377622496,0.022377622377622496
receptionist,0.0291136531598856,0.0924303896880495,0.0863053613053612,-0.0109557109557109,0.8423076923076923,0.6352564102564101,0.008714268999626601,0.027017064714828593,0.1715617715617715,-0.0873543123543123,0.2589160839160838,0.034440559440559404,-0.034440559440559404,0.0260489510489509,-0.0346153846153845,0.0606643356643354,0.0136363636363636,0.0136363636363636
sales clerk,0.0334731607198547,0.0838508336240621,0.0952797202797202,-0.0212121212121211,0.8791375291375292,0.5955710955710956,0.013073776559595698,0.01843750865084119,0.1923659673659673,-0.0934731934731934,0.2858391608391607,0.007517482517482493,-0.0075174825174824655,0.0289044289044288,-0.0384032634032633,0.0673076923076921,0.020279720279720297,0.020279720279720297
server,0.0296909922523338,0.0820001387634978,0.0803030303030302,0.0031468531468531,0.8745337995337996,0.6414918414918416,0.009291608092074799,0.016586813790276905,0.1633449883449882,-0.0775641025641025,0.24090909090909068,0.0524475524475525,-0.0524475524475525,0.0261655011655011,-0.0343240093240092,0.0604895104895103,0.013461538461538497,0.013461538461538497
taxi driver,0.0361565070418701,0.0764092104628982,0.0932400932400931,0.0216783216783216,0.8853146853146854,0.5113636363636364,0.015757122881611102,0.010995885489677296,0.1599650349650349,-0.1197552447552447,0.2797202797202796,0.060372960372960416,-0.013636363636363613,0.03006993006993,-0.0356643356643356,0.0657342657342656,0.0187062937062938,0.018706293706293807
truck driver,0.0383623552713969,0.0776400501182421,0.0556526806526806,0.0314685314685314,0.8573426573426574,0.487062937062937,0.0179629711111379,0.012226725145021197,0.0998834498834498,-0.067074592074592,0.16695804195804181,0.1263986013986014,-0.12639860139860137,0.0319930069930069,-0.034090909090909,0.0660839160839159,0.019055944055944102,0.019055944055944095
