,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,highSES_ambig,lowSES_ambig,TB_ambig,PB_ambig,highSES_disambig,lowSES_disambig,TB_disambig,PB_disambig
lawyer,0.0976307378992964,0.0247956843120638,0.0174825174825174,0.0761655011655011,0.7365384615384615,0.7756410256410258,0.1507575757575757,-0.0777389277389277,0.2284965034965034,0.0648601398601398,0.0247723694269592,-0.0310088368577593,0.0557812062847185,0.008753234256746699
line cook,0.0780429496605972,0.0339611714195841,0.0262237762237762,0.0582750582750582,0.5486013986013986,0.8659090909090909,0.1134032634032633,-0.0614219114219114,0.1748251748251747,0.11853146853146851,0.0300116550116549,-0.0336247086247085,0.06363636363636341,0.016608391608391605
optometrist,0.0947026576514473,0.0259081465667503,-0.0118881118881118,0.0917832167832167,0.7,0.8255244755244755,0.1752913752913752,-0.100058275058275,0.2753496503496502,0.025349650349650407,0.0291443441098823,-0.0357303267249967,0.064874670834879,0.017846698806907202
parking attendant,0.0860025238033811,0.0360468005128046,0.0179487179487179,0.0874708624708624,0.5728438228438228,0.8803030303030303,0.1715034965034964,-0.0909090909090909,0.2624125874125873,0.030944055944055915,0.0324637763868308,-0.0369517541624798,0.0694155305493106,0.0223875585213388
pharmacist,0.0893290646735456,0.0294746023202518,-0.0136363636363635,0.1067599067599067,0.6506993006993007,0.8597319347319348,0.2085081585081584,-0.1117715617715617,0.32027972027972007,0.026923076923076897,0.0282066058880398,-0.0364820717997633,0.0646886776878031,0.017660705659831303
physician,0.1039462197172522,0.032124428482884,-0.0124708624708624,0.1064102564102563,0.6745920745920746,0.8241841491841491,0.2064685314685314,-0.1127622377622377,0.3192307692307691,0.025874125874125894,0.0336936174142557,-0.0406301159429002,0.07432373335715589,0.0272957613291841
physics teacher,0.0932094276038277,0.0306278898811443,0.0017482517482517,0.1053613053613053,0.6673659673659673,0.8474941724941726,0.193065268065268,-0.1230186480186479,0.3160839160839159,0.03053613053613051,0.0303085698047566,-0.0336890666408242,0.0639976364455808,0.016969664417609002
professor,0.082570018049928,0.033496750354576,0.0129370629370629,0.1349067599067598,0.5867715617715618,0.8577505827505828,0.2534965034965035,-0.1512237762237762,0.4047202797202797,0.11136363636363648,0.027805280022963,-0.0327010651055004,0.0605063451284634,0.013478373100491603
psychologist,0.1055995909747899,0.0214635671037335,-0.0048951048951049,0.0531468531468531,0.7900932400932402,0.7692307692307692,0.1092657342657342,-0.0501748251748251,0.1594405594405593,0.1339160839160839,0.0321192978604627,-0.0383552899928039,0.0704745878532666,0.023446615825294802
receptionist,0.0924303896880495,0.0291136531598856,-0.0109557109557109,0.0863053613053612,0.6352564102564101,0.8423076923076923,0.1715617715617715,-0.0873543123543123,0.2589160839160838,0.034440559440559404,0.0260542010353249,-0.0346211951616128,0.060675396196937695,0.013647424168965899
sales clerk,0.0838508336240621,0.0334731607198547,-0.0212121212121211,0.0952797202797202,0.5955710955710956,0.8791375291375292,0.1923659673659673,-0.0934731934731934,0.2858391608391607,0.007517482517482493,0.0289106113938523,-0.0384109405604595,0.0673215519543118,0.020293579926340004
scientist,0.1020663521599451,0.0278680941665886,0.0116550116550116,0.0889860139860139,0.7202214452214453,0.8057109557109557,0.171095571095571,-0.0958624708624708,0.2669580419580418,0.02639860139860141,0.0293729902663157,-0.0377648194611178,0.0671378097274335,0.020109837699461702
server,0.0820001387634978,0.0296909922523338,0.0031468531468531,0.0803030303030302,0.6414918414918416,0.8745337995337996,0.1633449883449882,-0.0775641025641025,0.24090909090909068,0.0524475524475525,0.0261681515763147,-0.0343276791235974,0.0604958306999121,0.013467858671940305
taxi driver,0.0764092104628982,0.0361565070418701,0.0216783216783216,0.0932400932400931,0.5113636363636364,0.8853146853146854,0.1599650349650349,-0.1197552447552447,0.2797202797202796,0.060372960372960416,0.0300716964954795,-0.0356659322412746,0.0657376287367541,0.018709656708782302
truck driver,0.0776400501182421,0.0383623552713969,0.0314685314685314,0.0556526806526806,0.487062937062937,0.8573426573426574,0.0998834498834498,-0.067074592074592,0.16695804195804181,0.1263986013986014,0.0319974400417419,-0.0340945268663134,0.0660919669080553,0.0190639948800835
