,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
lawyer,-0.0058275058275058,0.0029137529137529,0.0043706293706293,0.0163170163170163,0.0081585081585081,0.0122377622377622,0.0100524475524475,0.0,-6.798756798756776e-05,0.629079254079254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
line cook,-0.0145687645687645,0.0072843822843822,0.0109265734265733,0.0227272727272727,0.0113636363636363,0.0170454545454545,0.0034965034965035,0.0,-7.219591082361055e-05,0.6876456876456877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
optometrist,-0.0116550116550116,0.0058275058275058,0.0087412587412587,0.0203962703962703,0.011072261072261,0.0157342657342656,0.0056818181818182,0.0,-0.0001134001134001,0.6465617715617715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parking attendant,-0.0075757575757575,0.0029137529137529,0.0052447552447552,0.0238927738927738,0.0128205128205128,0.0183566433566432,0.0091783216783217,0.0,3.5619266388497685e-05,0.6998834498834499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pharmacist,-0.0034965034965034,0.0017482517482517,0.0026223776223775,0.0116550116550116,0.0058275058275058,0.0087412587412587,0.0118006993006993,0.0,-5.193855461235112e-05,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physician,-0.0072843822843822,0.004079254079254,0.0056818181818181,0.0136946386946386,0.0081585081585081,0.0109265734265733,0.0087412587412588,0.0,-3.9375039375039214e-05,0.6468531468531469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
physics teacher,-0.0139860139860139,0.0087412587412587,0.0113636363636363,0.0209790209790209,0.0122377622377622,0.0166083916083915,0.0030594405594406,0.0,-8.559728887150499e-05,0.6404428904428905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
professor,-0.0119463869463869,0.0072843822843822,0.0096153846153845,0.0201048951048951,0.0113636363636363,0.0157342657342657,0.0048076923076923,0.0,-0.0001374585649325,0.6439393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,-0.0011655011655011,0.0014568764568764,0.0013111888111887,0.0058275058275058,0.0037878787878787,0.0048076923076922,0.0131118881118881,0.0,-3.532244787635272e-05,0.6078088578088578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receptionist,-0.0166083916083916,0.0078671328671328,0.0122377622377622,0.023018648018648,0.0119463869463869,0.0174825174825174,0.0021853146853147,0.0,-6.838648917441901e-05,0.6952214452214452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sales clerk,-0.0131118881118881,0.0069930069930069,0.0100524475524475,0.0224358974358974,0.0116550116550116,0.0170454545454545,0.0043706293706294,0.0,-5.133470225872724e-05,0.7092074592074592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scientist,-0.0139860139860139,0.0078671328671328,0.0109265734265733,0.0174825174825174,0.0096153846153846,0.013548951048951,0.0034965034965035,0.0,-0.0001276842932109,0.638986013986014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
server,-0.0168997668997669,0.0084498834498834,0.0126748251748251,0.0244755244755244,0.0131118881118881,0.0187937062937062,0.0017482517482517,0.0,-3.512373356185948e-05,0.7275641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxi driver,-0.0142773892773892,0.0075757575757575,0.0109265734265733,0.0212703962703962,0.011072261072261,0.0161713286713286,0.0034965034965035,0.0,-3.0516053564981576e-05,0.7205710955710956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck driver,-0.0119463869463869,0.0055361305361305,0.0087412587412586,0.0218531468531468,0.0113636363636363,0.0166083916083915,0.0056818181818182,0.0,-0.0001095359710363,0.7065850815850816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
